rt-td,rt-td 2,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,,rt-td 8,, ,rt-td 8,rt-td 9,rt-td 10,rt-td 11
181,Cole Reinhardt,Ottawa Senators,6,26,STL-EDM-OTT,,LW,CAN,,"6' 1""","6' 1"""," 6' 1""",,WHL,Brandon,200
182,Riley Duran,Boston Bruins,6,27,C,C,USA,"6' 1""","6' 1""",174,,"6' 1"" ",174,HIGH-MA,Lawrence Academy,
183,Matias Rajaniemi,New York Islanders,6,28,D,D,FIN,"6' 4""","6' 4""",201,,"6' 4"" ",201,FINLAND-JR.,Pelicans Jr.,
184,Noah Ellis,Vegas Golden Knights,6,29,D,D,USA,"6' 1""","6' 1""",191,,"6' 1"" ",191,USHL,Des Moines,
185,Remi Poirier,Dallas Stars,6,30,G,G,CAN,"6' 2""","6' 2""",217,,"6' 2"" ",217,QMJHL,Gatineau,
186,Amir Miftakhov,Tampa Bay Lightning,6,31,G,G,RUS,"6' 0""","6' 0""",172,,"6' 0"" ",172,RUSSIA-2,Bars Kazan,
187,Kienan Draper,Detroit Red Wings,7,1,RW,RW,USA,"6' 0""","6' 0""",187,,"6' 0"" ",187,HIGH-ON,St. Andrew's College,
188,Louis Crevier,Chicago Blackhawks,7,2,OTT-MTL-CHI,,D,CAN,,"6' 7""","6' 7"""," 6' 7""",,QMJHL,Chicoutimi,209
189,John Fusco,Toronto Maple Leafs,7,3,SJS-TOR,,D,USA,,"5' 9""","5' 9"""," 5' 9""",,HIGH-MA,Dexter School,174
190,Aatu Jamsen,Los Angeles Kings,7,4,RW,RW,FIN,"6' 1""","6' 1""",154,,"6' 1"" ",154,FINLAND-JR.,Pelicans Jr.,
191,Viktor Persson,Vancouver Canucks,7,5,ANA-VAN,,D,SWE,,"6' 2""","6' 2"""," 6' 2""",,SWEDEN-JR.,Brynas Jr.,192
192,Elliot Ekefjard,Arizona Coyotes,7,6,NJD-ARI,,RW,SWE,,"6' 4""","6' 4"""," 6' 4""",,N/A,IF BJO,216
193,Albert Lyckasen,Buffalo Sabres,7,7,D,D,SWE,"5' 11""","5' 11""",187,,"5' 11"" ",187,SWEDEN-JR.,Linkoping Jr.,
194,Noah Beck,St. Louis Blues,7,8,MIN-STL,,D,CAN,,"6' 3""","6' 3"""," 6' 3""",,USHL,Fargo,184
195,Wyatt Schingoethe,Toronto Maple Leafs,7,9,WPG-MIN-TOR,,C,USA,,"5' 10""","5' 10"""," 5' 10""",,USHL,Waterloo,200
196,Alex Young,San Jose Sharks,7,10,NYR-SJS,,C,CAN,,"5' 10""","5' 10"""," 5' 10""",,AJHL,Canmore,170
197,Hugo Ollas,New York Rangers,7,11,NSH-NYR,,G,SWE,,"6' 7""","6' 7"""," 6' 7""",,SWEDEN-JR.,Linkoping Jr.,220
198,Elliot Ekmark,Florida Panthers,7,12,C,C,SWE,"5' 9""","5' 9""",162,,"5' 9"" ",162,SWEDEN-JR.,Linkoping Jr.,
199,Alexander Pashin,Carolina Hurricanes,7,13,TOR-CAR,,RW,RUS,,"5' 8""","5' 8"""," 5' 8""",,RUSSIA-JR.,Ufa 2,154
200,Jeremias Lindewall,Edmonton Oilers,7,14,RW,RW,SWE,"6' 2""","6' 2""",183,,"6' 2"" ",183,SWEDEN-JR.,Modo Jr.,
201,Adam Raska,San Jose Sharks,7,15,PIT-SJS,,RW,CZE,,"5' 10""","5' 10"""," 5' 10""",,QMJHL,Rimouski,178
202,Gunnarwolfe Fontaine,Nashville Predators,7,16,MTL-PHI-NSH,,LW,USA,,"5' 8""","5' 8"""," 5' 8""",,USHL,Chicago,172
203,Chase Bradley,Detroit Red Wings,7,17,CHI-MTL-STL-DET,,LW,USA,,"5' 11""","5' 11"""," 5' 11""",,USHL,Omaha,180
204,Ben McCartney,Arizona Coyotes,7,18,LW,LW,CAN,"5' 11""","5' 11""",182,,"5' 11"" ",182,WHL,Brandon,
205,Ilya Solovyov,Calgary Flames,7,19,D,D,BLR,"6' 2""","6' 2""",208,,"6' 2"" ",208,OHL,Saginaw,
206,Linus Oberg,San Jose Sharks,7,20,VAN-NYR-SJS,,C,SWE,,"6' 0""","6' 0"""," 6' 0""",,SWEDEN,Orebro,202
207,Ethan Bowen,Anaheim Ducks,7,21,CBJ-ANA,,C,CAN,,"6' 1""","6' 1"""," 6' 1""",,BCHL,Chilliwack,154
208,Ronan Seeley,Carolina Hurricanes,7,22,D,D,CAN,"5' 11""","5' 11""",176,,"5' 11"" ",176,WHL,Everett,
209,Chase McLane,Nashville Predators,7,23,PHI-NSH,,C,USA,,"6' 1""","6' 1"""," 6' 1""",,USHL,Tri-City,175
210,Timofey Spitserov,San Jose Sharks,7,24,WSH-SJS,,RW,RUS,,"5' 11""","5' 11"""," 5' 11""",,HIGH-IN,Culver Academy,174
211,Oskar Magnusson,Washington Capitals,7,25,COL-PIT-WSH,,LW,SWE,,"5' 9""","5' 9"""," 5' 9""",,SWEDEN-JR.,Malmo Jr.,166
212,Devon Levi,Florida Panthers,7,26,STL-TOR-FLA,,G,CAN,,"6' 0""","6' 0"""," 6' 0""",,CCHL,Carleton Place,184
213,Ryan Tverberg,Toronto Maple Leafs,7,27,BOS-TOR,,C,CAN,,"5' 9""","5' 9"""," 5' 9""",,OJHL,Toronto JC,168
214,Henrik Tikkanen,New York Islanders,7,28,G,G,FIN,"6' 6""","6' 6""",200,,"6' 6"" ",200,FINLAND-JR.,HIFK Jr.,
215,Maxim Marushev,Vegas Golden Knights,7,29,C,C,RUS,"6' 1""","6' 1""",176,,"6' 1"" ",176,RUSSIA-2,Bars Kazan,
216,Jakub Konecny,Buffalo Sabres,7,30,DAL-BUF,,C,CZE,,"5' 10""","5' 10"""," 5' 10""",,CZREP-JR.,Sparta Jr.,150
217,Declan McDonnell,Tampa Bay Lightning,7,31,RW,RW,USA,"5' 9""","5' 9""",174,,"5' 9"" ",174,OHL,Kitchener,
